,File,Line,Index,Context
273,Dowell_Philip_O27Reilly.html,238,1140,"m [g]"" accesskey=""g"">Wikidata item</a></li><li id="
274,Dowell_Philip_O27Reilly.html,255,124,"<a href=""https://www.wikidata.org/wiki/Q5302679#si"
275,Coalville_Town_railway_station.html,6,595,"013"",""Coordinates on Wikidata"",""Articles with OS g"
276,Coalville_Town_railway_station.html,49,847,"y-Ben-Brooksbank.jpg 2x"" data-file-width=""2388"" da"
277,Coalville_Town_railway_station.html,49,870,""" data-file-width=""2388"" data-file-height=""1450"" /"
278,Coalville_Town_railway_station.html,66,304,"aerial photos, and other data for this location""><"
279,Coalville_Town_railway_station.html,66,551,"aerial photos, and other data for this location"">5"
280,Coalville_Town_railway_station.html,66,1147,"aerial photos, and other data for this location""><"
281,Coalville_Town_railway_station.html,66,1394,"aerial photos, and other data for this location"">5"
282,Coalville_Town_railway_station.html,118,587,"inburgh_Waverley.JPG 2x"" data-file-width=""2048"" da"
283,Coalville_Town_railway_station.html,118,610,""" data-file-width=""2048"" data-file-height=""1536"" /"
284,Coalville_Town_railway_station.html,137,766,"lle%2C_July_2016.jpg 2x"" data-file-width=""5463"" da"
285,Coalville_Town_railway_station.html,137,789,""" data-file-width=""5463"" data-file-height=""2854"" /"
286,Coalville_Town_railway_station.html,146,29,"le class=""plainlinks metadata ambox ambox-content "
287,Coalville_Town_railway_station.html,149,441,"ion_book-new.svg.png 2x"" data-file-width=""512"" dat"
288,Coalville_Town_railway_station.html,149,463,"x"" data-file-width=""512"" data-file-height=""399"" />"
